Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyex,Chrome 70.0.3538.77,,2018-11-12 16:49:07,2018-11-12 16:50:57,1m - 50.256s,PASSED
,,,,,,
Test Cases/Edit,Chrome 70.0.3538.77,,2018-11-12 16:49:08,2018-11-12 16:49:58,49.875s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 16:49:08,2018-11-12 16:49:21,12.215s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-12 16:49:21,2018-11-12 16:49:25,4.647s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:25,2018-11-12 16:49:31,5.449s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-12 16:49:31,2018-11-12 16:49:32,1.035s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:32,2018-11-12 16:49:33,1.072s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:33,2018-11-12 16:49:40,7.258s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 16:49:40,2018-11-12 16:49:45,5.021s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:45,2018-11-12 16:49:45,0.146s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:45,2018-11-12 16:49:46,0.515s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:46,2018-11-12 16:49:46,0.305s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:46,2018-11-12 16:49:46,0.328s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:46,2018-11-12 16:49:46,0.115s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:46,2018-11-12 16:49:47,0.230s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:47,2018-11-12 16:49:47,0.164s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:47,2018-11-12 16:49:47,0.489s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:47,2018-11-12 16:49:47,0.129s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:47,2018-11-12 16:49:48,0.175s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:48,2018-11-12 16:49:48,0.109s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:48,2018-11-12 16:49:48,0.196s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:48,2018-11-12 16:49:48,0.192s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:48,2018-11-12 16:49:48,0.142s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:48,2018-11-12 16:49:48,0.162s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:48,2018-11-12 16:49:49,0.187s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:49,2018-11-12 16:49:49,0.102s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:49,2018-11-12 16:49:49,0.196s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:49,2018-11-12 16:49:49,0.202s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:49,2018-11-12 16:49:49,0.263s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:49,2018-11-12 16:49:50,0.185s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:50,2018-11-12 16:49:50,0.122s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:50,2018-11-12 16:49:50,0.192s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 16:49:50,2018-11-12 16:49:55,5.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:55,2018-11-12 16:49:55,0.142s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-12 16:49:55,2018-11-12 16:49:55,0.322s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:49:55,2018-11-12 16:49:57,1.883s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:49:57,2018-11-12 16:49:57,0.275s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-12 16:49:57,2018-11-12 16:49:58,0.250s,PASSED
,,,,,,
Test Cases/Edit,Chrome 70.0.3538.77,,2018-11-12 16:49:58,2018-11-12 16:50:27,28.864s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 16:49:58,2018-11-12 16:50:03,4.860s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-12 16:50:03,2018-11-12 16:50:06,3.064s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:06,2018-11-12 16:50:08,2.227s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-12 16:50:08,2018-11-12 16:50:08,0.250s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:08,2018-11-12 16:50:08,0.197s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:08,2018-11-12 16:50:09,1.004s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 16:50:09,2018-11-12 16:50:14,5.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:14,2018-11-12 16:50:15,0.107s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:15,2018-11-12 16:50:15,0.401s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:15,2018-11-12 16:50:15,0.230s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:15,2018-11-12 16:50:15,0.206s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:15,2018-11-12 16:50:16,0.153s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:16,2018-11-12 16:50:16,0.319s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:16,2018-11-12 16:50:16,0.173s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:16,2018-11-12 16:50:16,0.417s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:16,2018-11-12 16:50:17,0.142s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:17,2018-11-12 16:50:17,0.157s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:17,2018-11-12 16:50:17,0.131s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:17,2018-11-12 16:50:17,0.240s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:17,2018-11-12 16:50:17,0.176s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:17,2018-11-12 16:50:17,0.128s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:17,2018-11-12 16:50:18,0.107s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:18,2018-11-12 16:50:18,0.188s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:18,2018-11-12 16:50:18,0.115s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:18,2018-11-12 16:50:18,0.234s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:18,2018-11-12 16:50:18,0.139s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:18,2018-11-12 16:50:19,0.283s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:19,2018-11-12 16:50:19,0.211s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:19,2018-11-12 16:50:19,0.135s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:19,2018-11-12 16:50:19,0.181s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 16:50:19,2018-11-12 16:50:24,5.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:24,2018-11-12 16:50:24,0.145s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-12 16:50:24,2018-11-12 16:50:24,0.264s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:24,2018-11-12 16:50:26,1.731s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:26,2018-11-12 16:50:26,0.182s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-12 16:50:26,2018-11-12 16:50:27,0.275s,PASSED
,,,,,,
Test Cases/Edit,Chrome 70.0.3538.77,,2018-11-12 16:50:27,2018-11-12 16:50:56,29.001s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 16:50:27,2018-11-12 16:50:32,5.056s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-12 16:50:32,2018-11-12 16:50:36,4.199s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:36,2018-11-12 16:50:38,1.669s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-12 16:50:38,2018-11-12 16:50:38,0.215s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:38,2018-11-12 16:50:38,0.121s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:38,2018-11-12 16:50:39,0.986s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 16:50:39,2018-11-12 16:50:44,5.000s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:44,2018-11-12 16:50:44,0.104s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:44,2018-11-12 16:50:44,0.404s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:44,2018-11-12 16:50:45,0.262s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:45,2018-11-12 16:50:45,0.254s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:45,2018-11-12 16:50:45,0.127s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:45,2018-11-12 16:50:45,0.148s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:45,2018-11-12 16:50:45,0.080s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:45,2018-11-12 16:50:46,0.323s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:46,2018-11-12 16:50:46,0.074s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:46,2018-11-12 16:50:46,0.138s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:46,2018-11-12 16:50:46,0.080s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:46,2018-11-12 16:50:46,0.130s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:46,2018-11-12 16:50:46,0.163s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:46,2018-11-12 16:50:46,0.109s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:46,2018-11-12 16:50:46,0.127s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:46,2018-11-12 16:50:47,0.106s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:47,2018-11-12 16:50:47,0.180s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:47,2018-11-12 16:50:47,0.147s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:47,2018-11-12 16:50:47,0.181s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:47,2018-11-12 16:50:47,0.274s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:47,2018-11-12 16:50:48,0.229s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:48,2018-11-12 16:50:48,0.118s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:48,2018-11-12 16:50:48,0.202s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 16:50:48,2018-11-12 16:50:53,5.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:53,2018-11-12 16:50:53,0.119s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-12 16:50:53,2018-11-12 16:50:53,0.350s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 16:50:53,2018-11-12 16:50:55,1.705s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 16:50:55,2018-11-12 16:50:55,0.277s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-12 16:50:55,2018-11-12 16:50:56,0.290s,PASSED
